CATEGORIE;DATE;QUART;PDQ;LAT;LONG
Introduction;2018-04-01;nuit;5;45.4666801963538;-73.8211663899862
Introduction;2018-04-01;jour;5;45.4700646346079;-73.8244748633374
Méfait;2018-04-01;jour;5;45.4625627564722;-73.8292167425863
Introduction;2018-04-01;soir;7;45.4970180062368;-73.6826737239669
Introduction;2018-04-01;soir;7;45.521107166403;-73.6712367613905
Méfait;2018-04-01;nuit;7;45.5266816565922;-73.6904267033844
Vol de véhicule à moteur;2018-04-01;soir;7;45.4970180062368;-73.6826737239669
Méfait;2018-04-01;jour;8;45.4576962933627;-73.7009743469664
Vol de véhicule à moteur;2018-04-01;jour;8;45.4576962933627;-73.7009743469664
Vol de véhicule à moteur;2018-04-01;soir;9;45.4768981507237;-73.6637366830467
Vol dans / sur véhicule à moteur;2018-04-01;jour;12;45.4796453544363;-73.6027085982421
Introduction;2018-04-01;nuit;13;45.4381171953911;-73.6237747255107
Introduction;2018-04-01;nuit;13;45.4407591272157;-73.6202543178128
Méfait;2018-04-01;jour;15;45.4783603509569;-73.5499961763021
Vol dans / sur véhicule à moteur;2018-04-01;jour;15;45.4775972866824;-73.5677874439433
Vol dans / sur véhicule à moteur;2018-04-01;jour;16;45.4672016098122;-73.5677187899897
Méfait;2018-04-01;jour;20;45.4968972052142;-73.5668020948813
Vol dans / sur véhicule à moteur;2018-04-01;soir;20;45.4941741393901;-73.5672965960474
Vol dans / sur véhicule à moteur;2018-04-01;jour;20;45.5011202581795;-73.5772803665221
Vol dans / sur véhicule à moteur;2018-04-01;soir;20;45.5023759576768;-73.5946377948782
Vol dans / sur véhicule à moteur;2018-04-01;jour;20;45.4982982054086;-73.5676327066655
Vol dans / sur véhicule à moteur;2018-04-01;jour;20;45.5023759576768;-73.5946377948782
Vol dans / sur véhicule à moteur;2018-04-01;soir;20;45.4966281237519;-73.5724011561799
Vol dans / sur véhicule à moteur;2018-04-01;soir;21;45.5071742607687;-73.5661831544341
Vol dans / sur véhicule à moteur;2018-04-01;jour;21;45.5042285538657;-73.55820039748
Vol dans / sur véhicule à moteur;2018-04-01;jour;21;45.5020800241862;-73.5556573816061
Vols qualifiés;2018-04-01;jour;22;45.5242964845283;-73.5528028931863
Méfait;2018-04-01;soir;23;45.55036706385;-73.5357132910027
Vols qualifiés;2018-04-01;soir;23;45.5605110878528;-73.5473296789517
Méfait;2018-04-01;nuit;26;45.4906917169869;-73.6346061108701
Introduction;2018-04-01;soir;31;45.5400618201977;-73.63065651358
Méfait;2018-04-01;jour;31;45.5506392467363;-73.6094914490441
Vol dans / sur véhicule à moteur;2018-04-01;nuit;31;45.5507236931203;-73.6133418285474
Introduction;2018-04-01;nuit;35;45.5458950682346;-73.5989900588312
Introduction;2018-04-01;jour;38;45.5239634969755;-73.5829190651958
Introduction;2018-04-01;soir;38;45.514806102192;-73.5717932176314
Méfait;2018-04-01;nuit;38;45.5222065997333;-73.6022136972053
Méfait;2018-04-01;nuit;38;45.5138089327603;-73.5761448491279
Méfait;2018-04-01;jour;38;45.528202327532;-73.5756831326376
Méfait;2018-04-01;soir;38;45.5224046006887;-73.5914157434076
Méfait;2018-04-01;soir;38;45.5209302642692;-73.5898307015446
Introduction;2018-04-01;jour;39;45.5983280838695;-73.636062336232
Vol dans / sur véhicule à moteur;2018-04-01;soir;39;45.589396087849;-73.6253092169989
Vol de véhicule à moteur;2018-04-01;jour;39;1;1
Méfait;2018-04-01;soir;42;45.577738965674;-73.6025749522677
Méfait;2018-04-01;soir;44;45.5496554469003;-73.5909704838376
Méfait;2018-04-01;jour;44;45.5431369937033;-73.5783873605104
Méfait;2018-04-01;jour;44;45.5539669053015;-73.5943473294538
Introduction;2018-04-01;jour;45;45.6646666149117;-73.5480614356402
Vol de véhicule à moteur;2018-04-01;jour;45;45.6659633249857;-73.5526908501361
Vol de véhicule à moteur;2018-04-01;jour;45;45.6646666149117;-73.5480614356402
Vol dans / sur véhicule à moteur;2018-04-01;jour;46;45.6217382503345;-73.5575586650948
Méfait;2018-04-01;soir;48;45.5751286326435;-73.5541856683295
Vols qualifiés;2018-04-01;soir;48;45.6021241815491;-73.5219012605533
Méfait;2018-04-01;soir;50;45.483009140123;-73.5791411956335
Introduction;2018-03-31;jour;4;45.48887933882;-73.7838216124775
Introduction;2018-03-31;soir;5;45.4822248141756;-73.7980187130588
Méfait;2018-03-31;soir;5;45.4389758704803;-73.7396752942032
Vol de véhicule à moteur;2018-03-31;nuit;7;45.4869087255012;-73.7385420221326
Introduction;2018-03-31;jour;10;45.5389446489169;-73.6979309521001
Méfait;2018-03-31;jour;12;45.4857572368624;-73.5977125754051
Introduction;2018-03-31;nuit;13;45.4306422679592;-73.6472664474696
Introduction;2018-03-31;jour;13;45.4183110198028;-73.6191720214225
Méfait;2018-03-31;jour;13;45.4334314863186;-73.5971002302445
Vol dans / sur véhicule à moteur;2018-03-31;soir;13;45.4288766413714;-73.60911993585
Introduction;2018-03-31;jour;16;1;1
Méfait;2018-03-31;nuit;20;45.4993966764428;-73.5580555234855
Méfait;2018-03-31;jour;21;45.5169098979196;-73.5674619666346
Vol dans / sur véhicule à moteur;2018-03-31;jour;21;45.5086304194252;-73.551952418003
Vol dans / sur véhicule à moteur;2018-03-31;soir;21;45.5058185848764;-73.5536419388608
Méfait;2018-03-31;nuit;22;45.5209947456528;-73.5532516156632
Méfait;2018-03-31;soir;23;45.5474975160032;-73.5474517276607
Méfait;2018-03-31;jour;26;45.4953928591904;-73.6272795186648
Introduction;2018-03-31;nuit;27;45.5669735920352;-73.6504612873729
Vol dans / sur véhicule à moteur;2018-03-31;jour;27;45.5481158042056;-73.6416588534345
Vol de véhicule à moteur;2018-03-31;jour;27;45.5705854468285;-73.6516465878862
