CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-22;soir;48;1;1;581
Vol dans / sur véhicule à moteur;2018-03-22;jour;48;45.5805284788726;-73.5350826023921;582
Vol de véhicule à moteur;2018-03-22;soir;48;45.5804405561064;-73.5351421204788;583
Méfait;2018-03-23;soir;48;45.5986377566524;-73.5215108315252;584
Méfait;2018-03-23;soir;48;45.5726646996521;-73.5362063463489;585
Vol dans / sur véhicule à moteur;2018-03-23;soir;48;45.5724962265942;-73.5436641089654;586
Vol dans / sur véhicule à moteur;2018-03-23;jour;48;45.5933332026338;-73.5452833324108;587
Vol de véhicule à moteur;2018-03-23;soir;48;45.5986761726849;-73.5156281683755;588
Vol de véhicule à moteur;2018-03-23;soir;48;45.6014456568203;-73.5170502718273;589
Vols qualifiés;2018-03-23;soir;48;45.6021241815491;-73.5219012605533;590
Méfait;2018-03-24;jour;48;45.5986761726849;-73.5156281683755;591
Méfait;2018-03-24;jour;48;45.5827675534282;-73.5430334137262;592
Méfait;2018-03-24;jour;48;45.6033014818527;-73.5284627020324;593
Introduction;2018-03-25;nuit;48;45.609839174487;-73.5177247537299;594
Introduction;2018-03-25;jour;48;45.6014456568203;-73.5170502718273;595
Méfait;2018-03-25;nuit;48;45.595790105758;-73.5232595147659;596
Vol dans / sur véhicule à moteur;2018-03-25;soir;48;45.6043349471328;-73.5125408657652;597
Vol de véhicule à moteur;2018-03-25;jour;48;45.6014456568203;-73.5170502718273;598
Introduction;2018-03-26;jour;48;45.6033745983074;-73.5235798120862;599
Méfait;2018-03-26;jour;48;45.5873585334658;-73.5612458373246;600
Méfait;2018-03-26;jour;48;45.5873585334658;-73.5612458373246;601
Méfait;2018-03-26;jour;48;45.5717196651625;-73.5368655773138;602
Méfait;2018-03-26;jour;48;45.6065052090927;-73.5289578943615;603
Méfait;2018-03-26;jour;48;45.5888397026874;-73.539449999322;604
Méfait;2018-03-26;jour;48;45.5947966972677;-73.5113726917405;605
Méfait;2018-03-26;jour;48;45.5876716863678;-73.5579805660328;606
