CATEGORIE;DATE;QUART;PDQ;LAT;LONG;ID
Introduction;2018-03-31;jour;38;45.5252466100495;-73.5817765138493;166
Introduction;2018-03-31;soir;38;45.5223564699761;-73.5776747228112;167
Introduction;2018-03-31;nuit;38;45.5163253085914;-73.5751026849473;168
Introduction;2018-03-30;jour;38;45.5229102794527;-73.5893858411936;169
Introduction;2018-03-30;nuit;38;45.5284917611746;-73.5891752748309;170
Vol dans / sur véhicule à moteur;2018-03-30;soir;38;45.518016384315;-73.5817032306943;171
Vol dans / sur véhicule à moteur;2018-03-30;soir;38;45.5224046006887;-73.5914157434076;172
Vols qualifiés;2018-03-30;nuit;38;45.5139102242156;-73.5726124697495;173
Introduction;2018-03-29;soir;38;45.5214467287731;-73.5706230232969;174
Méfait;2018-03-29;jour;38;45.5224237718068;-73.5842595969339;175
Méfait;2018-03-29;jour;38;45.5300016446982;-73.5779457795394;176
Méfait;2018-03-29;jour;38;45.5168809812708;-73.5706260154914;177
Vol dans / sur véhicule à moteur;2018-03-29;soir;38;45.5211762326634;-73.5999004154999;178
Introduction;2018-03-28;jour;38;45.5207409388259;-73.5758720107522;179
Vol dans / sur véhicule à moteur;2018-03-28;soir;38;45.5055503826639;-73.5729572766557;180
Méfait;2018-03-27;jour;38;45.5264531899901;-73.5806709140782;181
Méfait;2018-03-27;jour;38;45.5151412092568;-73.5682751300206;182
Vol dans / sur véhicule à moteur;2018-03-27;soir;38;45.5258130498679;-73.5989011657819;183
